compound,Space Group,Band Gap (eV),Lattice Thermal Conductivity (W/m K),Hole mobility (cm^2 / V s),Electron mobility (cm^2 / V s),beta (p-type),beta (n-type),Number of Atoms per Unit Cell,density (g/cm^3),volume of unit cell (A^3),Volume per Atom (A^3),Bulk Modulus (GPa),Average Coordination Number
Mg1O1,8,2.8,5.2,0.39,96.19,0.57,2.57,24,2.43,330.4,13.76666667,60.8,4.33
Mg1O1,225,4.54,41.11,5.45,668.21,0.73,1.67,2,3.51,19,9.5,151.9,6
Mg1O1,72,3.13,8.76,13.38,346.15,0.76,2.78,16,2.85,187.8,11.7375,105.3,5
Mg1O1,15,3.36,11.33,0.86,169.85,1.65,2.29,24,2.17,370.1,15.42083333,85.2,4
Mg1O1,223,2.93,22.34,0.69,275.7,0.58,2.12,12,2.27,177.3,14.775,95.6,4
Mg1O1,143,3.08,36.22,5.97,1047.59,1.06,2.1,2,3.37,19.8,9.9,138.3,6
Mg1O1,194,4.12,7.36,11.56,715.05,5.62,7.32,24,3.5,229.7,9.570833333,150.2,6
Mg1O1,194,3.33,32.78,18.91,532.23,0.51,1.93,4,2.97,45,11.25,126.6,5
Mg1O1,186,3.45,312.31,7.28,1250.13,0.19,1.48,4,2.77,48.3,12.075,238.1,4
O3Sc2,12,3.79,13.54,6.14,9.5,0.45,0.54,15,3.88,177.1,11.80666667,158.8,4.93
O3Sc2,164,3.8,27.29,33.49,31.4,0.65,2.53,5,3.9,58.7,11.74,155.3,5.2
Ba3O5Si1,140,3.52,2.41,1.46,1.87,1.11,0.61,18,5.53,312.2,17.34444444,72.7,7.11
O7Si2Y2,11,4.59,19.2,0.97,132.5,0.31,2.23,22,3.79,302.8,13.76363636,109.7,3.18
O7Si2Y2,12,4.66,38.83,1.53,223.47,0.26,1.93,11,3.81,151,13.72727273,131.1,3.55
O7Si2Y2,11,4.95,16.28,0.7,169.16,0.29,2.64,22,3.84,299.1,13.59545455,101.7,3.23
O7Si2Y2,14,4.77,24.96,3.45,245.28,0.93,2.56,22,3.85,298.4,13.56363636,127.1,2.36
Cd2Ge1O4,62,1.09,4.14,2.36,1443.74,1.98,8.6,28,5.97,402.1,14.36071429,96.2,4.36
In2O4Sr1,62,1.83,3.85,1.4,1515.9,2.76,7.52,28,6.58,385.1,13.75357143,125.1,5.61
In2O7Si2,227,1.84,40.31,1.49,2403.33,0.56,5.37,22,6.09,217,9.863636364,227.6,2.91
In2O7Si2,12,2.74,31.78,1.2,659.92,0.75,3.12,11,4.84,136.3,12.39090909,147.4,3.64
Ca1O3Zr1,221,3.48,6.21,17.51,717.83,6.37,8.66,5,4.05,73.5,14.7,150.1,12
Ca1O3Zr1,62,4.28,16.03,10.77,21.29,1.38,0.91,20,4.41,270,13.5,143.4,3.9
Na4O3Sn1,9,1.89,2.6,1.02,1.45,0.65,0.75,16,3.12,275.2,17.2,32.6,4.13
Ca1O6Si2Zn1,15,4.04,9.05,2.24,289.27,1.63,3.8,20,3.7,231.4,11.57,83.4,3.6
Hg6O7Si2,12,1.39,1.66,1.3,3.81,1.19,3.67,15,8.5,268,17.86666667,31.1,2.27
Au1Ba4Na1O8,139,1.67,1.67,1.37,2.94,4.27,1.16,14,6.04,246.7,17.62142857,39.1,5.07
Cd1O3Sn1,62,0.7,10.66,10.95,5223.65,2.55,10.02,20,7.33,252.9,12.645,155.9,3.9
Cd1O3Sn1,148,0.97,18.03,0.88,3207.06,1.16,7.68,10,6.83,135.7,13.57,123.5,3.6
Na2O7Si3,15,4.69,9.07,4.87,239.29,1.39,3.31,24,3.19,252.4,10.51666667,90.1,3.75
Ba2Mg1O7Si2,15,4.44,3.26,0.95,206.44,0.9,3.88,24,4.19,370.5,15.4375,73,5.5
Ba2Mg1O7Si2,113,4.48,3.67,0.91,152.87,1.6,3.09,24,4.11,377.6,15.73333333,82,5.54
O2Ti1,11,2.94,24.45,2.6,7.97,2.56,0.67,12,2.49,212.8,17.73333333,69.7,2.08
O2Ti1,141,2.38,68.32,40.85,50.25,12.09,0.73,6,3.67,72.3,12.05,166.8,4
O2Ti1,14,2.34,63.25,4.24,3.21,0.37,0.33,12,4.36,121.7,10.14166667,176.3,3.33
O2Ti1,61,2.4,22.71,13.28,15.92,0.62,0.66,24,3.91,271.5,11.3125,190.8,4
O2Ti1,136,2.07,85.44,9.93,26.3,0.35,3.11,6,4.04,65.7,10.95,200.8,4
O2Ti1,141,2.38,68.32,40.8,50.29,12.08,0.73,6,3.67,72.3,12.05,166.8,4
O2Ti1,12,2.95,90.45,2.26,6.12,0.73,1.09,12,3.52,150.7,12.55833333,174.2,2.92
O2Ti1,60,2.66,45.2,15.42,3.75,1.03,0.58,12,4.11,129,10.75,206.9,4
O2Ti1,152,3.53,15.71,0.63,2.26,0.88,0.49,9,2.12,187.5,20.83333333,43,2.67
O3Ti2,167,0.44,24.02,23.11,9.73,1.87,2.21,10,4.36,109.5,10.95,191.5,4.8
Ca2O4Pb1,55,1.5,4.82,2.49,312.5,0.52,3.59,14,5.86,199,14.21428571,102.4,5.07
Mg1O3Ti1,148,3.63,31.82,2.76,1.16,2.92,0.83,10,3.75,106.4,10.64,159.5,4.1
O4Si1Zr1,88,4.38,42.64,4.16,1.35,0.65,0.82,12,4.92,123.9,10.325,216.8,3.92
O4Si1Zr1,141,4.86,49.22,4.3,3.42,0.33,1.2,12,4.4,138.2,11.51666667,194.7,3.75
O2Sn1,61,0.64,3.72,1.66,5140.15,3,14.92,24,7.31,273.8,11.40833333,104.7,4.67
O2Sn1,58,0.68,35.15,13.18,4021.88,0.57,5.58,6,6.64,75.4,12.56666667,167.3,4
O2Sn1,136,0.66,34.93,12.87,3888.14,0.56,5.51,6,6.63,75.5,12.58333333,166.6,4
O2Sn1,62,1.28,10.08,6.1,2194.39,7.15,5.79,12,5.86,170.7,14.225,138.5,4.67
O2Sn1,205,0.59,20.75,2,9313.77,1.59,9.32,12,7.24,138.3,11.525,189.6,4
Ca2O9Pb1Si3,2,4.39,4.74,0.8,5.96,1.65,1.23,30,4.22,405.8,13.52666667,57.9,3.3
Na2O8Si3Zn1,4,3.93,3.72,0.24,134.19,0.35,4.31,28,2.88,373,13.32142857,42.9,3.68
Na1O3Rb1Ti1,15,3.74,3.59,0.36,1.51,0.3,0.54,12,3.61,188.2,15.68333333,52.3,4.75
K1La1O4Ti1,129,2.79,5.39,0.61,10.75,0.64,2.01,14,4.62,208.4,14.88571429,79.8,4.43
Hf2O7Y2,227,3.4,20.31,10.04,189.32,3.96,2.56,22,7.13,301.2,13.69090909,161.8,2.91
K2O9Si3Sn1,176,3.85,5.98,1.77,86.59,1.8,2.85,30,3.31,426.5,14.21666667,66.2,3.57
